Home,Away
0.46,0.56
1.0,0.0
1.0,0.0
0.47,0.56
1.0,0.0
0.47,0.55
0.46,0.56
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.46,0.55
0.47,0.55
0.89,0.12
1.0,0.0
0.94,0.06
0.48,0.54
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.48,0.54
0.47,0.55
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.46,0.53
1.0,0.0
0.46,0.55
0.47,0.54
1.0,0.0
0.47,0.54
0.47,0.54
1.0,0.0
0.47,0.54
1.0,0.0
1.0,0.0
0.46,0.56
1.0,0.0
0.48,0.54
1.0,0.0
0.48,0.54
1.0,0.0
1.0,0.0
0.47,0.54
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.46,0.54
1.0,0.0
1.0,0.0
0.48,0.54
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
