,a.Team,a.FGM,a.FGA,a.FG%,a.3PM,a.3PA,a.3P%,a.FTM,a.FTA,a.FT%,a.OREB,a.DREB,a.REB,a.AST,a.STL,a.BLK,a.TOV,a.PF
1148,PHI,39,79,49.4,14,29,48.3,22,27,81.5,8,33,41,28,8,6,19,22
1149,IND,40,94,42.6,23,46,50.0,22,26,84.6,17,36,53,31,7,1,12,25
1150,IND,41,81,50.6,15,29,51.7,30,33,90.9,5,36,41,30,4,7,14,19
1151,NYK,37,93,39.8,12,35,34.3,22,32,68.8,13,41,54,19,6,5,13,19
1152,CHI,47,99,47.5,9,27,33.3,21,26,80.8,15,27,42,20,13,3,13,19
1153,ATL,55,97,56.7,12,29,41.4,14,18,77.8,10,35,45,31,5,8,7,26
1154,NOP,38,86,44.2,15,37,40.5,20,22,90.9,9,24,33,25,10,1,14,21
1155,PHI,43,82,52.4,16,38,42.1,10,11,90.9,7,34,41,25,11,6,15,20
1156,CLE,45,87,51.7,16,35,45.7,26,34,76.5,9,33,42,18,5,2,16,28
1157,CHA,33,86,38.4,11,38,28.9,16,24,66.7,10,37,47,21,3,4,15,18
1158,LAL,37,89,41.6,9,29,31.0,19,27,70.4,12,43,55,20,8,5,22,21
1159,HOU,40,94,42.6,14,38,36.8,17,21,81.0,13,26,39,23,10,6,17,18
1160,UTA,38,91,41.8,10,39,25.6,15,19,78.9,8,30,38,24,7,8,10,30
1161,DAL,41,81,50.6,20,40,50.0,27,35,77.1,7,30,37,25,8,4,18,23
1162,MIA,39,88,44.3,14,43,32.6,18,22,81.8,8,23,31,25,16,5,12,15
1163,LAC,44,82,53.7,9,28,32.1,13,18,72.2,10,34,44,21,6,5,20,17
1164,MEM,49,92,53.3,14,33,42.4,13,18,72.2,11,32,43,27,5,3,14,18
1165,ATL,45,91,49.5,8,22,36.4,20,25,80.0,10,36,46,22,6,12,12,20
1166,SAS,43,95,45.3,16,36,44.4,20,22,90.9,14,27,41,34,6,2,16,18
1167,BKN,34,86,39.5,7,27,25.9,24,30,80.0,7,30,37,23,7,6,14,24
1168,MIA,44,87,50.6,15,38,39.5,16,19,84.2,15,31,46,34,13,2,18,22
1169,ORL,35,81,43.2,6,24,25.0,16,21,76.2,10,33,43,19,6,6,17,29
1170,LAL,40,90,44.4,8,30,26.7,11,16,68.8,7,40,47,25,8,4,14,16
1171,HOU,36,94,38.3,11,40,27.5,18,24,75.0,14,35,49,19,7,2,19,30
1172,CHA,49,99,49.5,13,31,41.9,20,30,66.7,9,33,42,31,9,5,15,24
1173,IND,37,86,43.0,16,40,40.0,19,24,79.2,6,32,38,31,5,12,20,18
1174,PHI,40,79,50.6,16,36,44.4,13,19,68.4,4,30,34,29,6,2,13,12
1175,DET,36,88,40.9,8,28,28.6,19,25,76.0,11,30,41,12,6,1,13,26
