Home,Away
0.02,0.98
0.99,0.01
1.0,0.0
0.99,0.01
0.98,0.02
0.0,1.0
0.86,0.16
1.0,0.0
1.0,0.0
1.0,0.0
0.38,0.64
0.0,1.0
0.66,0.36
0.94,0.07
1.0,0.0
0.97,0.03
0.98,0.02
0.39,0.64
1.0,0.0
0.0,1.0
0.96,0.04
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.96,0.05
1.0,0.0
0.38,0.64
0.03,0.98
0.0,1.0
1.0,0.0
0.93,0.07
0.99,0.01
0.03,0.97
0.72,0.31
0.0,1.0
0.98,0.02
0.38,0.64
1.0,0.0
0.38,0.64
0.38,0.64
0.99,0.01
1.0,0.0
0.97,0.03
0.38,0.65
0.99,0.01
0.82,0.2
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
0.85,0.16
1.0,0.0
0.94,0.07
0.0,1.0
0.98,0.02
1.0,0.0
1.0,0.0
0.38,0.64
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
0.99,0.02
1.0,0.0
0.26,0.75
0.94,0.06
0.99,0.01
