Home,Away
0.01,0.99
0.74,0.25
1.0,0.0
1.0,0.0
1.0,0.0
0.88,0.12
0.95,0.05
1.0,0.0
0.23,0.77
1.0,0.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
0.99,0.01
0.0,1.0
1.0,0.0
0.01,0.99
0.92,0.08
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.03,0.97
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
0.16,0.84
1.0,0.0
1.0,0.0
0.43,0.57
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
0.02,0.98
1.0,0.0
0.09,0.91
1.0,0.0
0.99,0.01
0.99,0.01
0.97,0.03
1.0,0.0
0.99,0.01
1.0,0.0
0.31,0.69
0.0,1.0
0.87,0.13
1.0,0.0
0.93,0.07
0.96,0.04
1.0,0.0
1.0,0.0
0.18,0.82
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
