Home,Away
0.57,0.45
0.38,0.64
0.66,0.35
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.51,0.51
1.0,0.0
1.0,0.0
1.0,0.0
0.88,0.12
0.4,0.62
1.0,0.0
0.97,0.04
1.0,0.0
0.93,0.07
1.0,0.0
1.0,0.0
0.87,0.14
1.0,0.0
0.47,0.55
0.38,0.63
1.0,0.0
1.0,0.0
1.0,0.0
0.99,0.01
0.39,0.64
1.0,0.0
1.0,0.0
1.0,0.0
0.91,0.09
1.0,0.0
0.38,0.62
0.98,0.02
0.38,0.63
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.38,0.63
0.39,0.63
0.99,0.01
0.9,0.11
0.38,0.63
0.39,0.63
0.38,0.64
1.0,0.0
1.0,0.0
1.0,0.0
0.38,0.62
1.0,0.0
1.0,0.0
1.0,0.0
0.38,0.63
0.39,0.63
0.96,0.04
0.9,0.1
0.82,0.18
1.0,0.0
1.0,0.0
0.98,0.02
0.92,0.08
0.39,0.63
1.0,0.0
1.0,0.0
0.39,0.63
1.0,0.0
1.0,0.0
0.38,0.63
