,Team,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
299,OKC,43,98,43.9,11,35,31.4,20,24,83.3,12,30,42,28,9,1,10,23
300,LAC,35,83,42.2,11,28,39.3,20,23,87.0,9,35,44,24,11,3,25,17
301,DAL,46,91,50.5,12,37,32.4,18,28,64.3,9,29,38,28,5,3,7,29
302,BKN,36,83,43.4,12,36,33.3,20,25,80.0,3,35,38,25,12,6,18,19
303,UTA,30,85,35.3,10,34,29.4,24,36,66.7,14,38,52,15,8,9,20,15
304,HOU,48,97,49.5,9,31,29.0,7,10,70.0,10,30,40,33,5,6,13,16
305,GSW,49,91,53.8,12,30,40.0,13,16,81.3,12,34,46,34,5,2,18,19
306,TOR,38,94,40.4,15,42,35.7,13,19,68.4,19,28,47,26,11,6,12,17
307,MEM,51,112,45.5,6,31,19.4,13,17,76.5,14,33,47,25,13,6,7,17
308,ATL,43,93,46.2,13,35,37.1,17,19,89.5,13,29,42,21,4,7,9,17
309,PHI,32,73,43.8,10,27,37.0,25,28,89.3,9,30,39,20,7,3,20,24
310,NYK,37,78,47.4,12,31,38.7,23,34,67.6,7,37,44,20,6,3,15,11
311,NOP,34,76,44.7,6,27,22.2,19,23,82.6,9,29,38,23,9,2,17,26
312,CHA,43,83,51.8,13,26,50.0,18,22,81.8,7,39,46,24,8,3,17,22
313,ATL,45,90,50.0,16,30,53.3,23,28,82.1,13,33,46,20,7,2,16,18
314,DAL,39,93,41.9,20,49,40.8,10,14,71.4,11,37,48,21,5,5,17,24
315,DEN,49,96,51.0,13,39,33.3,23,31,74.2,11,39,50,35,10,3,16,23
316,MIL,38,87,43.7,13,45,28.9,15,21,71.4,11,34,45,15,4,7,12,20
317,CHI,40,79,50.6,8,30,26.7,14,17,82.4,8,31,39,21,7,3,11,19
318,GSW,39,91,42.9,15,42,35.7,16,22,72.7,16,40,56,23,11,5,18,19
319,POR,42,77,54.5,20,39,51.3,27,35,77.1,6,31,37,20,7,7,14,21
320,CLE,44,84,52.4,18,36,50.0,12,14,85.7,8,37,45,31,7,5,14,17
321,OKC,41,86,47.7,16,40,40.0,17,23,73.9,9,28,37,24,10,0,14,19
322,DET,38,94,40.4,6,24,25.0,9,14,64.3,17,45,62,26,4,5,16,27
323,UTA,43,92,46.7,10,28,35.7,22,28,78.6,15,41,56,29,5,11,16,16
324,MEM,45,95,47.4,15,44,34.1,7,8,87.5,11,39,50,25,10,3,12,13
325,PHI,35,78,44.9,9,27,33.3,28,35,80.0,8,34,42,19,8,3,10,13
326,NYK,45,88,51.1,19,48,39.6,19,23,82.6,11,43,54,24,1,7,19,22
327,ORL,35,90,38.9,6,29,20.7,32,38,84.2,15,40,55,16,4,8,14,19
328,CHA,38,88,43.2,10,31,32.3,22,27,81.5,11,37,48,20,10,2,15,22
329,ATL,50,85,58.8,15,28,53.6,21,23,91.3,5,37,42,28,7,8,14,21
330,MIL,47,98,48.0,19,46,41.3,15,19,78.9,10,47,57,27,6,1,12,18
331,PHX,42,90,46.7,14,38,36.8,26,32,81.3,15,39,54,23,5,5,11,22
332,MIN,46,93,49.5,11,33,33.3,10,16,62.5,7,38,45,25,6,11,16,20
333,GSW,37,78,47.4,26,54,48.1,16,18,88.9,7,40,47,27,3,3,19,20
334,LAC,59,98,60.2,26,45,57.8,31,36,86.1,7,35,42,39,8,3,25,27
335,CHI,50,88,56.8,12,26,46.2,19,28,67.9,12,45,57,25,6,4,11,15
336,WAS,39,79,49.4,19,44,43.2,12,12,100.0,3,31,34,25,6,6,19,20
337,ORL,39,95,41.1,12,31,38.7,18,23,78.3,12,34,46,27,7,6,14,19
338,CLE,43,90,47.8,6,26,23.1,17,20,85.0,13,28,41,24,10,2,11,21
339,UTA,42,100,42.0,13,48,27.1,23,27,85.2,17,41,58,26,8,10,22,29
340,SAC,47,85,55.3,14,34,41.2,25,31,80.6,12,37,49,27,9,4,18,16
341,LAL,42,86,48.8,16,30,53.3,24,34,70.6,10,48,58,30,8,3,16,20
342,IND,49,94,52.1,22,49,44.9,18,22,81.8,10,27,37,33,10,5,15,23
343,DAL,46,82,56.1,22,42,52.4,28,36,77.8,3,33,36,27,10,5,7,18
344,PHI,34,84,40.5,13,36,36.1,29,36,80.6,7,36,43,25,3,10,12,26
345,TOR,43,92,46.7,9,31,29.0,20,25,80.0,11,37,48,17,10,5,12,20
346,CHI,37,97,38.1,10,32,31.3,16,21,76.2,15,36,51,19,4,2,6,17
347,MIN,39,95,41.1,8,29,27.6,20,22,90.9,16,37,53,21,8,5,18,16
348,PHX,42,89,47.2,11,31,35.5,12,16,75.0,7,31,38,30,10,2,14,24
349,MEM,43,107,40.2,14,40,35.0,17,25,68.0,17,29,46,24,13,9,4,21
350,IND,39,82,47.6,18,43,41.9,21,22,95.5,6,35,41,27,6,5,19,19
351,BOS,49,92,53.3,21,45,46.7,8,10,80.0,8,35,43,30,10,5,11,18
352,DEN,48,84,57.1,11,31,35.5,11,15,73.3,6,37,43,34,7,5,13,14
353,PHI,39,78,50.0,13,27,48.1,27,29,93.1,8,30,38,24,7,4,12,22
354,OKC,42,87,48.3,9,34,26.5,40,47,85.1,10,39,49,21,8,4,11,21
355,CHA,43,96,44.8,14,35,40.0,20,29,69.0,15,43,58,26,8,12,16,17
356,LAL,44,83,53.0,10,37,27.0,22,36,61.1,6,37,43,32,5,8,11,23
357,BKN,41,77,53.2,17,39,43.6,17,20,85.0,5,31,36,26,3,5,11,27
358,ATL,40,97,41.2,5,26,19.2,16,21,76.2,8,32,40,25,6,7,5,18
359,LAC,49,92,53.3,17,36,47.2,19,22,86.4,12,24,36,33,5,4,8,22
360,POR,36,86,41.9,12,42,28.6,17,24,70.8,12,25,37,20,9,5,12,19
361,PHX,50,88,56.8,7,22,31.8,13,16,81.3,8,29,37,33,12,4,15,17
362,TOR,50,83,60.2,8,24,33.3,15,20,75.0,13,27,40,31,9,11,20,16
363,MIL,43,90,47.8,18,42,42.9,27,35,77.1,10,42,52,29,6,3,19,23
364,NYK,45,82,54.9,15,34,44.1,19,26,73.1,6,32,38,18,4,3,8,24
365,POR,46,97,47.4,23,47,48.9,12,13,92.3,8,34,42,27,7,9,7,15
366,IND,46,91,50.5,11,34,32.4,14,20,70.0,8,24,32,30,11,7,11,21
367,PHI,46,82,56.1,15,34,44.1,16,17,94.1,7,31,38,26,11,7,16,24
368,GSW,52,89,58.4,20,40,50.0,11,15,73.3,11,23,34,40,10,0,16,19
369,MIA,39,89,43.8,12,35,34.3,18,20,90.0,9,25,34,25,9,4,9,14
370,CHI,35,86,40.7,3,21,14.3,18,19,94.7,10,34,44,17,8,3,16,21
371,CHA,53,84,63.1,20,37,54.1,18,23,78.3,3,32,35,36,5,5,17,19
372,OKC,38,90,42.2,9,33,27.3,15,18,83.3,14,29,43,20,8,3,17,17
373,CLE,44,78,56.4,9,28,32.1,20,25,80.0,11,25,36,21,8,6,14,16
374,DAL,43,84,51.2,13,39,33.3,22,29,75.9,9,24,33,21,5,1,11,21
375,BOS,39,88,44.3,21,51,41.2,20,26,76.9,15,40,55,28,5,3,11,14
376,TOR,42,87,48.3,11,30,36.7,24,36,66.7,13,27,40,21,5,8,8,26
377,CHA,40,85,47.1,8,32,25.0,17,29,58.6,5,32,37,25,11,8,14,18
378,BKN,37,92,40.2,13,40,32.5,11,13,84.6,12,30,42,23,7,6,9,20
379,NYK,43,95,45.3,12,36,33.3,28,38,73.7,20,32,52,18,6,4,6,24
380,GSW,40,96,41.7,12,44,27.3,11,12,91.7,7,36,43,31,11,6,16,21
381,ATL,50,103,48.5,10,26,38.5,15,19,78.9,14,34,48,29,9,6,10,10
382,ORL,37,87,42.5,11,29,37.9,18,23,78.3,12,32,44,22,12,5,18,24
383,CLE,36,86,41.9,9,35,25.7,16,19,84.2,10,29,39,26,9,4,13,15
384,WAS,48,75,64.0,12,26,46.2,19,22,86.4,8,32,40,32,5,7,18,16
385,SAC,51,100,51.0,8,32,25.0,23,25,92.0,11,39,50,22,9,0,7,17
386,LAC,42,85,49.4,11,33,33.3,11,14,78.6,3,32,35,17,5,7,10,12
387,NOP,39,82,47.6,9,24,37.5,20,25,80.0,11,23,34,25,8,3,14,18
388,IND,36,85,42.4,11,39,28.2,21,28,75.0,11,27,38,23,9,3,15,16
389,MIA,32,77,41.6,12,38,31.6,21,22,95.5,6,34,40,21,11,6,17,23
390,POR,42,76,55.3,16,40,40.0,29,31,93.5,9,23,32,29,3,5,20,27
391,MEM,49,84,58.3,10,25,40.0,20,27,74.1,9,35,44,27,12,6,19,19
392,SAC,39,72,54.2,9,27,33.3,27,32,84.4,5,33,38,21,2,4,14,19
393,PHI,44,84,52.4,14,38,36.8,17,22,77.3,6,34,40,27,8,2,8,15
394,DET,46,107,43.0,7,37,18.9,39,49,79.6,21,41,62,29,6,5,16,29
395,BOS,44,89,49.4,25,55,45.5,14,17,82.4,5,38,43,34,7,7,15,22
396,TOR,41,91,45.1,12,34,35.3,22,30,73.3,9,31,40,28,11,3,13,30
397,ATL,43,95,45.3,10,29,34.5,20,27,74.1,20,39,59,23,6,4,19,22
398,ORL,47,97,48.5,9,27,33.3,12,19,63.2,15,32,47,24,12,6,10,16
399,BKN,39,91,42.9,17,44,38.6,21,25,84.0,11,38,49,26,8,1,11,20
400,LAL,42,89,47.2,7,18,38.9,15,21,71.4,11,32,43,23,2,2,12,19
401,CLE,43,87,49.4,6,26,23.1,21,25,84.0,13,37,50,30,8,4,13,16
402,WAS,44,87,50.6,15,37,40.5,15,17,88.2,11,41,52,29,4,12,17,17
403,POR,43,78,55.1,8,27,29.6,31,32,96.9,12,35,47,25,6,3,21,16
404,LAC,38,86,44.2,12,33,36.4,16,21,76.2,9,31,40,21,10,4,11,18
405,UTA,44,105,41.9,12,34,35.3,18,21,85.7,21,29,50,27,2,5,8,12
406,HOU,47,86,54.7,10,22,45.5,24,28,85.7,15,29,44,25,4,7,19,21
407,MIA,37,79,46.8,6,19,31.6,36,39,92.3,15,33,48,21,7,3,13,22
408,TOR,43,88,48.9,10,28,35.7,16,21,76.2,9,42,51,21,11,7,17,19
409,BOS,40,76,52.6,19,35,54.3,7,10,70.0,5,39,44,25,2,5,15,19
410,MEM,39,81,48.1,11,33,33.3,15,21,71.4,5,34,39,22,10,7,14,21
411,ORL,37,79,46.8,6,25,24.0,18,24,75.0,9,32,41,23,4,4,11,19
412,BKN,38,79,48.1,9,28,32.1,27,31,87.1,5,31,36,25,11,2,17,21
413,DEN,58,93,62.4,13,27,48.1,17,22,77.3,6,38,44,44,12,5,11,21
414,NOP,45,91,49.5,12,32,37.5,14,21,66.7,13,34,47,28,8,2,10,19
415,LAL,49,85,57.6,14,31,45.2,18,26,69.2,6,35,41,27,8,3,21,19
416,POR,37,91,40.7,9,36,25.0,25,29,86.2,1,27,28,23,5,2,9,20
417,BKN,41,84,48.8,16,31,51.6,18,22,81.8,8,34,42,21,4,5,16,26
418,HOU,44,88,50.0,13,32,40.6,19,24,79.2,11,28,39,27,5,4,14,15
419,DET,37,87,42.5,9,33,27.3,16,21,76.2,9,33,42,22,9,6,9,20
420,WAS,35,82,42.7,6,28,21.4,15,19,78.9,7,30,37,20,8,5,14,18
421,GSW,56,97,57.7,26,50,52.0,3,7,42.9,11,34,45,43,6,3,16,17
422,UTA,41,87,47.1,6,31,19.4,23,26,88.5,10,27,37,21,4,4,13,23
423,CHI,50,89,56.2,6,22,27.3,22,25,88.0,7,42,49,27,10,6,14,12
424,NYK,34,79,43.0,12,36,33.3,28,39,71.8,14,35,49,21,5,1,12,28
425,NOP,48,85,56.5,14,26,53.8,26,34,76.5,12,36,48,26,11,3,11,23
426,IND,40,92,43.5,8,32,25.0,15,22,68.2,12,30,42,28,3,6,13,20
427,CHA,45,83,54.2,12,33,36.4,11,23,47.8,8,31,39,28,8,6,15,23
428,MIN,48,87,55.2,10,27,37.0,22,30,73.3,5,29,34,33,7,3,11,23
429,MEM,38,78,48.7,10,27,37.0,17,23,73.9,8,36,44,25,10,9,20,16
430,NYK,45,94,47.9,18,40,45.0,20,26,76.9,10,36,46,30,6,3,10,30
431,OKC,56,97,57.7,21,46,45.7,20,23,87.0,9,33,42,39,11,6,9,19
432,BKN,43,86,50.0,14,33,42.4,25,28,89.3,10,29,39,21,4,10,15,28
433,NOP,52,100,52.0,9,30,30.0,18,20,90.0,14,34,48,28,6,0,11,22
434,GSW,45,82,54.9,14,35,40.0,15,19,78.9,5,33,38,33,6,5,14,24
435,CHI,48,80,60.0,12,26,46.2,21,25,84.0,6,35,41,32,6,3,12,19
436,DEN,48,95,50.5,15,38,39.5,17,20,85.0,12,36,48,32,14,6,13,15
437,DET,35,81,43.2,16,42,38.1,14,22,63.6,9,21,30,23,8,2,16,27
438,MIL,46,88,52.3,14,40,35.0,17,28,60.7,10,41,51,23,6,4,12,14
439,UTA,41,91,45.1,13,44,29.5,13,18,72.2,13,37,50,20,4,2,15,22
440,HOU,40,80,50.0,7,21,33.3,24,33,72.7,6,34,40,22,5,4,13,26
441,IND,40,89,44.9,17,41,41.5,10,14,71.4,9,38,47,28,13,5,18,18
442,BOS,29,75,38.7,10,38,26.3,26,31,83.9,3,40,43,18,5,3,15,21
443,DET,44,86,51.2,14,32,43.8,16,23,69.6,12,39,51,27,7,3,23,22
444,MIN,40,87,46.0,16,44,36.4,24,28,85.7,12,29,41,21,7,7,20,27
445,SAS,52,89,58.4,7,21,33.3,14,15,93.3,9,26,35,32,8,0,18,25
446,WAS,42,84,50.0,12,33,36.4,20,22,90.9,9,32,41,27,4,3,11,19
447,NYK,40,83,48.2,12,36,33.3,14,18,77.8,11,33,44,25,8,0,18,17
448,MIL,39,90,43.3,9,37,24.3,19,27,70.4,8,45,53,16,2,0,10,17
449,DEN,51,90,56.7,16,35,45.7,16,21,76.2,7,31,38,35,10,2,13,19
450,IND,45,93,48.4,16,41,39.0,5,6,83.3,6,40,46,30,8,6,16,21
451,CLE,49,91,53.8,14,29,48.3,16,22,72.7,9,32,41,33,12,7,16,17
452,CHI,41,79,51.9,11,28,39.3,21,26,80.8,8,32,40,24,9,3,14,18
453,DAL,37,85,43.5,14,41,34.1,23,29,79.3,6,30,36,16,10,3,8,24
454,UTA,44,83,53.0,17,47,36.2,26,30,86.7,13,36,49,29,3,11,16,17
455,SAS,48,88,54.5,8,24,33.3,5,7,71.4,8,32,40,30,5,1,18,17
456,HOU,41,94,43.6,7,23,30.4,23,31,74.2,24,41,65,20,6,12,18,20
457,MEM,41,87,47.1,9,37,24.3,21,28,75.0,12,32,44,28,8,7,13,22
458,PHX,35,86,40.7,4,28,14.3,26,31,83.9,12,32,44,22,8,4,16,13
459,BOS,53,92,57.6,26,54,48.1,7,10,70.0,11,46,57,28,4,4,12,13
460,PHI,34,78,43.6,14,35,40.0,23,26,88.5,7,36,43,27,7,4,19,24
461,MIN,46,106,43.4,14,50,28.0,13,24,54.2,10,43,53,26,5,7,11,23
462,MIL,43,105,41.0,15,44,34.1,23,27,85.2,16,50,66,18,7,8,12,21
463,NYK,44,98,44.9,7,34,20.6,28,32,87.5,13,32,45,27,6,3,9,24
464,CLE,40,83,48.2,11,40,27.5,6,12,50.0,5,34,39,32,9,6,13,20
465,DEN,43,87,49.4,16,36,44.4,20,24,83.3,10,34,44,33,7,3,18,21
466,CHI,38,77,49.4,12,24,50.0,15,21,71.4,6,45,51,26,6,6,20,19
467,PHX,43,87,49.4,11,28,39.3,17,21,81.0,13,29,42,28,10,4,12,16
468,SAS,42,97,43.3,7,29,24.1,15,23,65.2,14,29,43,26,6,6,10,20
469,PHI,40,85,47.1,11,30,36.7,18,23,78.3,8,37,45,28,8,3,19,25
470,OKC,46,93,49.5,11,24,45.8,17,20,85.0,8,35,43,23,10,4,17,18
471,DAL,39,79,49.4,10,34,29.4,23,33,69.7,9,31,40,17,6,1,11,18
472,MIN,43,92,46.7,12,39,30.8,13,25,52.0,8,41,49,26,7,3,18,16
473,BKN,45,95,47.4,16,41,39.0,15,19,78.9,12,38,50,24,8,9,11,25
474,POR,43,79,54.4,19,40,47.5,24,27,88.9,3,29,32,24,2,7,8,21
475,MEM,43,89,48.3,9,37,24.3,17,22,77.3,15,26,41,29,10,8,9,21
476,CLE,44,78,56.4,20,33,60.6,14,19,73.7,4,31,35,35,9,7,13,23
477,CHA,45,83,54.2,15,40,37.5,17,22,77.3,11,36,47,25,6,3,19,18
478,MIL,53,96,55.2,17,43,39.5,12,20,60.0,12,45,57,27,7,4,12,18
479,MIN,42,80,52.5,17,37,45.9,16,21,76.2,9,35,44,25,5,2,20,26
480,DET,38,83,45.8,14,38,36.8,24,31,77.4,8,27,35,23,10,5,16,25
481,UTA,39,82,47.6,13,36,36.1,17,24,70.8,13,36,49,26,9,6,17,23
482,POR,40,76,52.6,7,24,29.2,18,23,78.3,3,24,27,18,3,6,12,16
483,SAS,48,109,44.0,10,29,34.5,12,17,70.6,17,36,53,32,6,4,13,20
484,BKN,46,87,52.9,22,40,55.0,8,14,57.1,9,26,35,31,5,3,9,17
485,PHI,46,89,51.7,18,35,51.4,16,24,66.7,12,27,39,31,10,2,11,15
486,ATL,45,95,47.4,7,27,25.9,16,20,80.0,15,32,47,24,12,2,9,18
487,BOS,39,84,46.4,13,40,32.5,34,39,87.2,7,39,46,18,8,9,12,22
488,ORL,41,83,49.4,10,28,35.7,17,24,70.8,6,30,36,29,5,0,13,18
489,NOP,39,92,42.4,8,29,27.6,17,19,89.5,8,34,42,21,9,8,10,26
490,IND,49,89,55.1,13,33,39.4,20,28,71.4,5,33,38,22,10,4,13,24
491,MIA,39,85,45.9,10,33,30.3,22,26,84.6,5,32,37,28,9,3,11,19
492,GSW,50,90,55.6,18,43,41.9,11,15,73.3,5,38,43,40,5,1,14,18
493,OKC,40,76,52.6,10,18,55.6,22,25,88.0,10,36,46,19,5,2,15,17
494,MIN,44,86,51.2,13,35,37.1,10,15,66.7,9,36,45,31,12,6,20,19
495,BKN,43,94,45.7,13,38,34.2,23,27,85.2,15,25,40,24,5,6,16,23
496,CHA,39,84,46.4,7,32,21.9,26,31,83.9,6,46,52,24,8,5,16,19
497,LAC,52,89,58.4,18,38,47.4,16,21,76.2,6,31,37,26,9,9,5,21
498,HOU,39,76,51.3,5,21,23.8,12,20,60.0,10,36,46,24,5,6,22,20
499,BOS,41,100,41.0,16,46,34.8,19,23,82.6,15,39,54,22,4,4,13,19
500,PHX,35,86,40.7,13,32,40.6,12,16,75.0,13,37,50,24,4,6,9,21
501,ORL,46,82,56.1,15,28,53.6,19,25,76.0,9,25,34,34,8,7,18,22
502,SAC,35,73,47.9,13,32,40.6,12,13,92.3,4,30,34,29,6,2,19,12
503,NOP,37,85,43.5,12,38,31.6,16,21,76.2,8,34,42,25,4,7,15,21
504,OKC,53,102,52.0,15,34,44.1,11,16,68.8,12,25,37,31,12,2,12,23
505,PHI,42,82,51.2,18,38,47.4,35,36,97.2,11,25,36,26,10,4,11,19
506,LAL,40,90,44.4,10,33,30.3,23,30,76.7,11,45,56,25,12,9,20,13
507,HOU,42,97,43.3,5,28,17.9,14,20,70.0,17,40,57,29,5,10,14,15
508,GSW,43,85,50.6,14,32,43.8,22,28,78.6,14,30,44,33,7,5,22,27
509,POR,51,89,57.3,17,36,47.2,15,18,83.3,6,35,41,26,9,4,10,15
510,MIL,37,78,47.4,13,30,43.3,20,28,71.4,7,42,49,16,11,7,23,15
511,MIA,34,94,36.2,12,33,36.4,18,23,78.3,14,37,51,21,7,2,8,18
512,IND,42,99,42.4,10,37,27.0,22,28,78.6,14,31,45,24,9,10,8,21
513,LAL,42,95,44.2,16,40,40.0,15,24,62.5,9,23,32,21,8,4,7,13
514,PHX,47,94,50.0,22,39,56.4,12,13,92.3,15,40,55,38,3,10,18,21
515,NOP,38,85,44.7,5,26,19.2,17,20,85.0,14,29,43,18,5,3,16,14
516,NYK,37,75,49.3,17,33,51.5,14,21,66.7,9,33,42,25,4,3,17,18
517,DAL,47,89,52.8,10,30,33.3,22,26,84.6,8,30,38,24,6,2,9,25
518,POR,55,92,59.8,20,33,60.6,17,22,77.3,8,28,36,34,11,4,10,16
519,SAC,49,88,55.7,22,40,55.0,13,14,92.9,10,43,53,37,10,5,25,11
520,CHI,44,95,46.3,11,34,32.4,12,18,66.7,15,32,47,28,13,3,11,20
521,UTA,41,86,47.7,16,40,40.0,22,26,84.6,9,37,46,25,8,4,16,26
522,HOU,44,88,50.0,11,30,36.7,20,30,66.7,12,35,47,24,11,5,23,15
523,ORL,43,84,51.2,11,27,40.7,16,24,66.7,8,32,40,22,10,3,11,12
524,DET,43,87,49.4,13,32,40.6,31,40,77.5,11,30,41,26,10,3,20,21
525,GSW,41,90,45.6,13,32,40.6,21,27,77.8,10,32,42,28,10,2,12,24
526,PHX,39,88,44.3,13,35,37.1,21,25,84.0,6,34,40,25,10,5,17,26
527,DAL,35,80,43.8,13,35,37.1,15,26,57.7,12,26,38,15,3,3,10,21
528,DEN,36,82,43.9,10,28,35.7,17,33,51.5,10,32,42,22,7,5,9,16
529,POR,37,86,43.0,17,46,37.0,21,25,84.0,11,27,38,24,5,7,12,24
530,TOR,41,90,45.6,15,34,44.1,28,35,80.0,17,28,45,21,12,4,8,20
531,MIA,35,80,43.8,8,34,23.5,22,27,81.5,12,30,42,17,16,1,22,14
532,ATL,45,83,54.2,11,25,44.0,17,20,85.0,6,34,40,24,5,4,18,20
533,PHX,38,91,41.8,12,31,38.7,24,35,68.6,14,41,55,27,9,8,15,20
534,CLE,48,86,55.8,7,22,31.8,11,17,64.7,9,32,41,33,9,3,9,13
535,MIN,38,83,45.8,17,41,41.5,20,24,83.3,3,27,30,20,12,9,12,26
536,SAC,46,84,54.8,13,33,39.4,22,29,75.9,4,25,29,28,6,5,9,20
537,WAS,51,95,53.7,18,34,52.9,18,25,72.0,9,37,46,34,6,5,8,18
538,TOR,46,86,53.5,7,19,36.8,5,7,71.4,6,35,41,24,7,9,14,13
539,UTA,37,88,42.0,16,39,41.0,16,23,69.6,13,33,46,24,6,1,11,18
540,ATL,56,100,56.0,13,34,38.2,14,16,87.5,14,25,39,27,6,4,7,16
541,CLE,42,84,50.0,14,33,42.4,16,19,84.2,10,25,35,24,7,8,15,15
542,DAL,37,80,46.3,18,38,47.4,23,28,82.1,10,27,37,21,7,1,10,22
543,ORL,39,75,52.0,15,30,50.0,30,34,88.2,5,37,42,28,2,5,15,18
544,SAC,41,87,47.1,12,38,31.6,24,28,85.7,13,40,53,25,1,2,15,17
545,LAL,38,93,40.9,13,41,31.7,33,41,80.5,10,37,47,24,7,7,10,26
546,SAS,51,89,57.3,14,26,53.8,10,14,71.4,12,22,34,34,3,1,7,15
547,DEN,51,83,61.4,14,28,50.0,18,26,69.2,12,26,38,38,16,4,18,28
548,POR,32,85,37.6,9,37,24.3,22,29,75.9,13,31,44,19,4,3,16,15
549,PHX,39,85,45.9,11,28,39.3,28,41,68.3,12,37,49,30,4,3,16,23
550,MIN,45,89,50.6,17,40,42.5,21,23,91.3,8,29,37,31,12,5,15,20
551,BOS,43,108,39.8,13,41,31.7,22,30,73.3,18,45,63,21,10,5,17,19
552,DET,39,97,40.2,8,34,23.5,22,27,81.5,17,32,49,25,7,3,17,15
553,NOP,37,80,46.3,13,30,43.3,11,18,61.1,9,29,38,27,5,3,18,17
554,NYK,40,96,41.7,7,26,26.9,18,27,66.7,20,29,49,14,9,4,9,20
555,LAL,43,89,48.3,11,34,32.4,14,18,77.8,6,30,36,26,9,3,7,20
556,OKC,47,93,50.5,16,38,42.1,16,21,76.2,13,29,42,41,12,7,19,25
557,DAL,44,84,52.4,16,42,38.1,18,24,75.0,10,21,31,26,5,3,16,19
558,DEN,45,85,52.9,8,21,38.1,24,32,75.0,8,26,34,27,10,2,16,19
559,MEM,44,97,45.4,11,34,32.4,16,22,72.7,15,27,42,22,10,7,8,19
560,HOU,46,91,50.5,10,32,31.3,15,20,75.0,12,35,47,21,4,5,20,22
561,UTA,45,87,51.7,19,32,59.4,17,22,77.3,9,35,44,26,4,7,8,19
562,DEN,44,88,50.0,11,32,34.4,23,28,82.1,11,31,42,32,8,6,12,15
563,MIL,46,86,53.5,19,39,48.7,19,21,90.5,6,36,42,24,5,5,12,19
564,LAC,41,82,50.0,12,34,35.3,16,20,80.0,8,25,33,20,4,5,19,23
565,SAS,37,97,38.1,7,34,20.6,25,28,89.3,13,41,54,23,12,4,16,22
566,CLE,39,80,48.8,9,28,32.1,26,33,78.8,13,30,43,22,5,4,15,19
567,LAL,49,91,53.8,12,33,36.4,30,35,85.7,9,30,39,23,4,5,2,19
568,WAS,42,86,48.8,14,35,40.0,20,23,87.0,6,30,36,31,7,2,14,21
569,MIL,48,91,52.7,23,46,50.0,13,15,86.7,9,32,41,32,9,1,14,14
570,NYK,42,99,42.4,9,31,29.0,28,35,80.0,20,34,54,17,3,5,12,28
571,MIN,46,101,45.5,18,41,43.9,15,18,83.3,16,25,41,28,9,6,6,20
572,MEM,52,98,53.1,16,37,43.2,16,20,80.0,13,38,51,29,8,6,11,19
573,ATL,45,76,59.2,13,27,48.1,18,22,81.8,2,26,28,27,9,5,16,17
574,CHA,41,90,45.6,13,31,41.9,23,30,76.7,13,25,38,26,7,2,5,18
575,DET,37,83,44.6,18,44,40.9,12,15,80.0,9,29,38,23,4,4,12,22
576,LAL,48,87,55.2,6,20,30.0,10,13,76.9,4,34,38,28,4,6,11,19
577,BKN,39,91,42.9,12,41,29.3,12,19,63.2,14,37,51,24,4,7,16,21
578,DEN,48,89,53.9,13,39,33.3,10,19,52.6,12,29,41,32,10,5,16,22
579,POR,43,85,50.6,17,44,38.6,37,42,88.1,8,33,41,28,3,6,8,29
580,LAC,46,88,52.3,14,32,43.8,15,21,71.4,11,33,44,21,13,6,17,16
581,CHI,48,95,50.5,15,39,38.5,21,24,87.5,7,31,38,29,12,1,10,18
582,SAS,48,93,51.6,10,26,38.5,13,20,65.0,11,29,40,27,1,3,10,21
583,CHA,41,88,46.6,8,27,29.6,16,19,84.2,10,36,46,21,3,2,11,11
584,MIN,45,80,56.3,9,28,32.1,11,15,73.3,4,27,31,22,10,5,15,21
585,POR,49,88,55.7,17,41,41.5,21,22,95.5,10,37,47,34,7,4,12,20
586,MIA,45,87,51.7,11,22,50.0,10,12,83.3,13,38,51,17,9,3,11,14
587,IND,38,103,36.9,11,47,23.4,25,28,89.3,16,33,49,26,5,8,20,20
588,TOR,36,87,41.4,7,29,24.1,24,30,80.0,11,32,43,19,9,3,14,19
589,UTA,43,90,47.8,12,40,30.0,19,23,82.6,10,38,48,20,5,6,12,24
590,SAC,47,86,54.7,20,40,50.0,25,29,86.2,14,32,46,34,10,8,14,19
591,LAC,41,87,47.1,10,29,34.5,11,14,78.6,11,32,43,20,6,3,12,18
592,WAS,36,93,38.7,13,42,31.0,23,26,88.5,12,38,50,18,3,4,8,23
593,IND,40,101,39.6,7,30,23.3,24,29,82.8,19,32,51,24,8,9,12,22
594,SAS,40,88,45.5,8,22,36.4,25,34,73.5,7,31,38,26,6,3,15,19
595,CHI,38,85,44.7,12,38,31.6,22,24,91.7,10,32,42,30,7,5,16,17
596,MIN,47,90,52.2,10,28,35.7,17,20,85.0,4,33,37,24,13,3,15,22
597,UTA,36,83,43.4,11,35,31.4,29,40,72.5,17,42,59,15,9,11,24,18
598,DET,43,90,47.8,7,30,23.3,17,24,70.8,7,35,42,20,7,3,13,23
599,POR,40,78,51.3,11,33,33.3,22,29,75.9,5,31,36,17,6,4,17,27
600,TOR,43,83,51.8,10,28,35.7,28,36,77.8,8,24,32,30,15,4,9,23
601,PHI,39,88,44.3,11,36,30.6,25,27,92.6,9,30,39,30,4,3,17,29
