Home,Away
0.0,1.0
1.0,0.0
0.0,1.0
0.4,0.6
0.85,0.15
1.0,0.0
0.89,0.11
1.0,0.0
1.0,0.0
0.4,0.6
0.4,0.6
0.4,0.6
0.12,0.88
1.0,0.0
0.84,0.16
0.98,0.02
0.01,0.99
1.0,0.0
0.4,0.6
1.0,0.0
0.0,1.0
0.03,0.97
0.4,0.6
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
0.4,0.6
1.0,0.0
1.0,0.0
0.4,0.6
0.01,0.99
1.0,0.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
0.4,0.6
1.0,0.0
1.0,0.0
0.41,0.59
0.72,0.28
1.0,0.0
0.21,0.79
0.97,0.03
1.0,0.0
0.98,0.02
1.0,0.0
0.17,0.84
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.4,0.6
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.02,0.98
0.4,0.6
1.0,0.0
1.0,0.0
0.36,0.64
0.0,1.0
0.62,0.39
0.97,0.03
0.3,0.71
0.4,0.6
0.97,0.03
0.03,0.97
