Home,Away
0.01,0.99
1.0,0.0
0.94,0.06
0.72,0.28
0.2,0.8
0.98,0.02
1.0,0.0
1.0,0.0
1.0,0.0
0.94,0.06
0.37,0.62
1.0,0.0
0.33,0.67
1.0,0.0
0.91,0.09
0.98,0.02
0.38,0.61
1.0,0.0
1.0,0.0
1.0,0.0
0.51,0.49
0.94,0.06
0.96,0.04
1.0,0.0
1.0,0.0
1.0,0.0
0.89,0.11
0.2,0.79
1.0,0.0
1.0,0.0
0.5,0.49
0.14,0.86
1.0,0.0
0.99,0.01
0.97,0.03
0.93,0.07
0.59,0.41
1.0,0.0
1.0,0.0
1.0,0.0
0.33,0.67
0.93,0.07
0.15,0.85
0.16,0.84
0.95,0.05
1.0,0.0
0.97,0.03
1.0,0.0
1.0,0.0
0.91,0.09
1.0,0.0
1.0,0.0
0.9,0.1
0.99,0.01
1.0,0.0
1.0,0.0
0.93,0.07
1.0,0.0
0.18,0.82
1.0,0.0
1.0,0.0
0.95,0.05
0.01,0.99
0.0,1.0
1.0,0.0
0.97,0.03
0.96,0.04
1.0,0.0
0.99,0.01
0.53,0.46
