,Team,Match Up,Game Date,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
347,SAC,SAC @ WAS,03/18/2023,W,132,48,86,55.8,22,37,59.5,14,23,60.9,7,37,44,34,7,7,8,22,14
348,WAS,WAS vs. SAC,03/18/2023,L,118,41,91,45.1,13,36,36.1,23,27,85.2,12,34,46,27,6,5,10,18,-14
349,DEN,DEN @ NYK,03/18/2023,L,110,43,84,51.2,12,33,36.4,12,15,80.0,6,27,33,30,3,2,13,21,-6
350,PHI,PHI @ IND,03/18/2023,W,141,54,88,61.4,15,35,42.9,18,22,81.8,6,24,30,31,11,6,8,17,20
351,IND,IND vs. PHI,03/18/2023,L,121,45,87,51.7,12,31,38.7,19,20,95.0,12,29,41,28,5,5,17,17,-20
352,MEM,MEM @ SAS,03/17/2023,W,126,49,101,48.5,14,38,36.8,14,21,66.7,15,37,52,27,13,9,17,24,6
353,SAS,SAS vs. MEM,03/17/2023,L,120,39,98,39.8,20,52,38.5,22,29,75.9,16,38,54,31,11,4,20,19,-6
354,CHA,CHA vs. PHI,03/17/2023,L,82,29,86,33.7,5,35,14.3,19,26,73.1,7,28,35,20,10,6,14,16,-39
355,PHI,PHI @ CHA,03/17/2023,W,121,46,92,50.0,10,32,31.3,19,25,76.0,14,48,62,24,9,9,15,19,39
356,DAL,DAL @ LAL,03/17/2023,W,111,40,79,50.6,16,34,47.1,15,19,78.9,7,28,35,27,8,4,15,26,1
357,GSW,GSW @ ATL,03/17/2023,L,119,47,98,48.0,11,40,27.5,14,20,70.0,16,38,54,28,6,9,17,20,-8
358,ATL,ATL vs. GSW,03/17/2023,W,127,47,100,47.0,16,41,39.0,17,25,68.0,13,32,45,27,7,8,11,15,8
359,LAL,LAL vs. DAL,03/17/2023,L,110,43,84,51.2,5,20,25.0,19,31,61.3,13,29,42,23,8,3,12,18,-1
360,POR,POR vs. BOS,03/17/2023,L,112,38,79,48.1,14,38,36.8,22,31,71.0,8,29,37,20,12,4,19,26,-14
361,BOS,BOS @ POR,03/17/2023,W,126,41,87,47.1,15,42,35.7,29,35,82.9,18,34,52,29,12,2,18,19,14
362,WAS,WAS @ CLE,03/17/2023,L,94,35,76,46.1,8,23,34.8,16,20,80.0,6,32,38,22,5,6,17,19,-23
363,CLE,CLE vs. WAS,03/17/2023,W,117,48,87,55.2,4,19,21.1,17,22,77.3,9,32,41,31,9,7,11,19,23
364,MIN,MIN @ CHI,03/17/2023,L,131,46,100,46.0,18,42,42.9,21,31,67.7,14,36,50,33,6,8,16,24,-8
365,CHI,CHI vs. MIN,03/17/2023,W,139,51,94,54.3,11,24,45.8,26,30,86.7,6,41,47,23,9,6,12,21,8
366,NOP,NOP @ HOU,03/17/2023,L,112,39,82,47.6,12,28,42.9,22,25,88.0,8,27,35,22,8,5,9,17,-2
367,HOU,HOU vs. NOP,03/17/2023,W,114,43,88,48.9,11,32,34.4,17,24,70.8,15,37,52,20,9,3,13,19,2
368,DEN,DEN @ DET,03/16/2023,W,119,47,89,52.8,8,24,33.3,17,25,68.0,13,34,47,29,9,7,10,15,19
369,DET,DET vs. DEN,03/16/2023,L,100,39,85,45.9,12,27,44.4,10,18,55.6,13,24,37,24,8,3,17,20,-19
370,BKN,BKN vs. SAC,03/16/2023,L,96,33,80,41.3,14,39,35.9,16,23,69.6,3,38,41,20,8,4,7,22,-5
