,Team,Match Up,Game Date,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
553,LAC,LAC @ SAC,03/03/2023,L,127,47,87,54.0,14,41,34.1,19,27,70.4,6,26,32,31,7,3,7,24,-1
554,OKC,OKC vs. UTA,03/03/2023,W,130,52,104,50.0,17,43,39.5,9,14,64.3,11,29,40,31,12,5,7,22,27
555,LAL,LAL vs. MIN,03/03/2023,L,102,36,87,41.4,10,31,32.3,20,24,83.3,11,30,41,23,8,2,15,19,-8
556,NYK,NYK @ MIA,03/03/2023,W,122,47,81,58.0,17,41,41.5,11,17,64.7,6,28,34,23,8,4,12,23,2
557,MIA,MIA vs. NYK,03/03/2023,L,120,39,81,48.1,12,25,48.0,30,32,93.8,11,28,39,23,7,2,12,17,-2
558,ORL,ORL @ CHA,03/03/2023,W,117,46,86,53.5,10,26,38.5,15,19,78.9,13,29,42,21,9,4,20,24,11
559,PHX,PHX @ CHI,03/03/2023,W,125,42,84,50.0,20,47,42.6,21,25,84.0,13,28,41,29,6,7,11,20,21
560,CHI,CHI vs. PHX,03/03/2023,L,104,39,83,47.0,7,23,30.4,19,25,76.0,9,25,34,24,7,1,9,15,-21
561,BOS,BOS vs. BKN,03/03/2023,L,105,41,84,48.8,9,29,31.0,14,20,70.0,9,39,48,26,8,8,19,19,-10
562,BKN,BKN @ BOS,03/03/2023,W,115,40,95,42.1,14,44,31.8,21,26,80.8,13,34,47,25,9,6,13,20,10
563,GSW,GSW vs. NOP,03/03/2023,W,108,40,78,51.3,10,31,32.3,18,20,90.0,9,34,43,28,7,4,18,22,9
564,NOP,NOP @ GSW,03/03/2023,L,99,34,77,44.2,10,29,34.5,21,27,77.8,7,22,29,20,9,4,13,22,-9
565,DEN,DEN vs. MEM,03/03/2023,W,113,40,87,46.0,8,31,25.8,25,31,80.6,13,40,53,28,6,5,10,21,16
566,MEM,MEM @ DEN,03/03/2023,L,97,31,84,36.9,11,32,34.4,24,31,77.4,10,30,40,24,6,6,11,24,-16
567,CHA,CHA vs. ORL,03/03/2023,L,106,38,78,48.7,9,24,37.5,21,25,84.0,8,26,34,25,11,4,21,20,-11
568,MIN,MIN @ LAL,03/03/2023,W,110,42,89,47.2,14,34,41.2,12,16,75.0,10,36,46,29,10,6,14,21,8
569,UTA,UTA @ OKC,03/03/2023,L,103,38,78,48.7,9,29,31.0,18,23,78.3,10,38,48,24,5,14,26,18,-27
570,ATL,ATL vs. POR,03/03/2023,W,129,52,91,57.1,12,26,46.2,13,16,81.3,10,33,43,30,10,5,17,19,18
571,POR,POR @ ATL,03/03/2023,L,111,41,87,47.1,13,39,33.3,16,20,80.0,9,25,34,22,11,7,18,15,-18
572,LAC,LAC @ GSW,03/02/2023,L,91,32,89,36.0,9,43,20.9,18,21,85.7,9,38,47,19,5,5,16,24,-24
573,WAS,WAS vs. TOR,03/02/2023,W,119,43,84,51.2,14,30,46.7,19,24,79.2,9,34,43,30,5,4,15,12,11
574,TOR,TOR @ WAS,03/02/2023,L,108,41,92,44.6,9,33,27.3,17,17,100.0,13,30,43,28,8,7,14,21,-11
575,DAL,DAL vs. PHI,03/02/2023,W,133,45,82,54.9,25,48,52.1,18,27,66.7,5,26,31,26,8,1,13,22,7
576,PHI,PHI @ DAL,03/02/2023,L,126,45,78,57.7,12,27,44.4,24,29,82.8,5,32,37,28,9,1,14,24,-7
577,IND,IND @ SAS,03/02/2023,L,99,41,90,45.6,8,23,34.8,9,11,81.8,6,34,40,23,11,8,14,18,-11
578,SAS,SAS vs. IND,03/02/2023,W,110,45,98,45.9,10,32,31.3,10,13,76.9,13,37,50,31,5,6,17,14,11
579,GSW,GSW vs. LAC,03/02/2023,W,115,39,93,41.9,14,46,30.4,23,27,85.2,15,45,60,25,9,6,12,20,24
580,CHA,CHA vs. PHX,03/01/2023,L,91,32,88,36.4,9,33,27.3,18,28,64.3,12,36,48,20,3,7,14,17,-14
581,PHX,PHX @ CHA,03/01/2023,W,105,42,89,47.2,9,25,36.0,12,15,80.0,5,43,48,30,8,9,13,22,14
582,BOS,BOS vs. CLE,03/01/2023,W,117,39,78,50.0,16,32,50.0,23,28,82.1,7,36,43,27,5,4,13,18,4
583,CLE,CLE @ BOS,03/01/2023,L,113,45,92,48.9,10,32,31.3,13,21,61.9,10,28,38,21,8,3,7,18,-4
584,NOP,NOP @ POR,03/01/2023,W,121,46,89,51.7,9,25,36.0,20,23,87.0,11,30,41,23,9,4,6,20,11
585,POR,POR vs. NOP,03/01/2023,L,110,36,81,44.4,11,38,28.9,27,29,93.1,12,29,41,18,5,8,14,18,-11
586,MIL,MIL vs. ORL,03/01/2023,W,139,49,94,52.1,26,56,46.4,15,19,78.9,8,38,46,29,4,1,8,23,22
587,OKC,OKC vs. LAL,03/01/2023,L,117,44,91,48.4,11,40,27.5,18,24,75.0,12,30,42,29,8,4,13,27,-6
588,LAL,LAL @ OKC,03/01/2023,W,123,38,80,47.5,16,35,45.7,31,39,79.5,10,31,41,22,8,8,13,19,6
589,BKN,BKN @ NYK,03/01/2023,L,118,42,90,46.7,15,39,38.5,19,20,95.0,5,26,31,26,6,5,14,21,-24
590,NYK,NYK vs. BKN,03/01/2023,W,142,54,89,60.7,20,35,57.1,14,21,66.7,7,39,46,28,5,3,16,21,24
591,DET,DET vs. CHI,03/01/2023,L,115,39,78,50.0,14,35,40.0,23,28,82.1,7,33,40,23,8,2,17,23,-2
592,CHI,CHI @ DET,03/01/2023,W,117,41,85,48.2,12,27,44.4,23,31,74.2,10,30,40,27,9,4,15,22,2
593,PHI,PHI @ MIA,03/01/2023,W,119,41,83,49.4,15,39,38.5,22,22,100.0,9,32,41,25,6,5,9,20,23
594,MIA,MIA vs. PHI,03/01/2023,L,96,34,78,43.6,7,29,24.1,21,23,91.3,5,28,33,18,3,2,13,17,-23
595,MEM,MEM @ HOU,03/01/2023,W,113,40,83,48.2,17,41,41.5,16,19,84.2,8,36,44,27,6,9,8,21,14
596,HOU,HOU vs. MEM,03/01/2023,L,99,36,90,40.0,11,34,32.4,16,25,64.0,17,32,49,17,4,5,13,18,-14
597,ORL,ORL @ MIL,03/01/2023,L,117,43,94,45.7,9,33,27.3,22,29,75.9,12,38,50,22,3,5,13,18,-22
598,SAC,SAC @ OKC,02/28/2023,W,123,43,82,52.4,15,42,35.7,22,30,73.3,8,43,51,34,3,4,20,21,6
599,OKC,OKC vs. SAC,02/28/2023,L,117,43,98,43.9,11,35,31.4,20,24,83.3,12,30,42,28,9,1,10,23,-6
600,LAC,LAC vs. MIN,02/28/2023,L,101,35,83,42.2,11,28,39.3,20,23,87.0,9,35,44,24,11,3,25,17,-7
601,MIN,MIN @ LAC,02/28/2023,W,108,43,90,47.8,9,26,34.6,13,22,59.1,10,36,46,22,14,8,19,20,7
602,DAL,DAL vs. IND,02/28/2023,L,122,46,91,50.5,12,37,32.4,18,28,64.3,9,29,38,28,5,3,7,29,-2
603,BKN,BKN vs. MIL,02/28/2023,L,104,36,83,43.4,12,36,33.3,20,25,80.0,3,35,38,25,12,6,18,19,-14
604,MIL,MIL @ BKN,02/28/2023,W,118,50,102,49.0,14,37,37.8,4,12,33.3,11,44,55,32,10,3,17,21,14
605,IND,IND @ DAL,02/28/2023,W,124,41,78,52.6,11,28,39.3,31,40,77.5,5,36,41,25,3,8,9,19,2
606,SAS,SAS @ UTA,02/28/2023,W,102,39,91,42.9,8,26,30.8,16,25,64.0,9,36,45,23,9,5,14,22,8
607,UTA,UTA vs. SAS,02/28/2023,L,94,30,85,35.3,10,34,29.4,24,36,66.7,14,38,52,15,8,9,20,15,-8
608,HOU,HOU vs. DEN,02/28/2023,L,112,48,97,49.5,9,31,29.0,7,10,70.0,10,30,40,33,5,6,13,16,-21
609,DEN,DEN @ HOU,02/28/2023,W,133,53,92,57.6,16,37,43.2,11,16,68.8,11,32,43,40,8,5,11,10,21
610,GSW,GSW vs. POR,02/28/2023,W,123,49,91,53.8,12,30,40.0,13,16,81.3,12,34,46,34,5,2,18,19,18
611,CHI,CHI @ TOR,02/28/2023,L,98,37,71,52.1,10,25,40.0,14,17,82.4,6,29,35,28,6,7,20,18,-6
612,MEM,MEM vs. LAL,02/28/2023,W,121,51,112,45.5,6,31,19.4,13,17,76.5,14,33,47,25,13,6,7,17,12
613,LAL,LAL @ MEM,02/28/2023,L,109,38,86,44.2,13,34,38.2,20,23,87.0,14,42,56,22,5,10,26,19,-12
614,TOR,TOR vs. CHI,02/28/2023,W,104,38,94,40.4,15,42,35.7,13,19,68.4,19,28,47,26,11,6,12,17,6
615,POR,POR @ GSW,02/28/2023,L,105,37,86,43.0,12,39,30.8,19,22,86.4,9,24,33,26,8,4,13,17,-18
616,ATL,ATL vs. WAS,02/28/2023,L,116,43,93,46.2,13,35,37.1,17,19,89.5,13,29,42,21,4,7,9,17,-3
617,WAS,WAS @ ATL,02/28/2023,W,119,48,97,49.5,6,21,28.6,17,20,85.0,16,32,48,19,6,5,9,15,3
618,PHI,PHI vs. MIA,02/27/2023,L,99,32,73,43.8,10,27,37.0,25,28,89.3,9,30,39,20,7,3,20,24,-2
619,BOS,BOS @ NYK,02/27/2023,L,94,37,84,44.0,9,42,21.4,11,14,78.6,7,28,35,21,5,8,12,22,-15
620,NYK,NYK vs. BOS,02/27/2023,W,109,37,78,47.4,12,31,38.7,23,34,67.6,7,37,44,20,6,3,15,11,15
621,ORL,ORL @ NOP,02/27/2023,W,101,36,79,45.6,9,34,26.5,20,26,76.9,11,32,43,21,9,1,17,20,8
622,NOP,NOP vs. ORL,02/27/2023,L,93,34,76,44.7,6,27,22.2,19,23,82.6,9,29,38,23,9,2,17,26,-8
623,MIA,MIA @ PHI,02/27/2023,W,101,35,81,43.2,15,37,40.5,16,22,72.7,12,25,37,21,10,3,13,20,2
624,CHA,CHA vs. DET,02/27/2023,W,117,43,83,51.8,13,26,50.0,18,22,81.8,7,39,46,24,8,3,17,22,11
625,DET,DET @ CHA,02/27/2023,L,106,42,92,45.7,3,26,11.5,19,27,70.4,10,29,39,18,12,3,9,18,-11
626,ATL,ATL vs. BKN,02/26/2023,W,129,45,90,50.0,16,30,53.3,23,28,82.1,13,33,46,20,7,2,16,18,2
627,LAL,LAL @ DAL,02/26/2023,W,111,42,97,43.3,6,34,17.6,21,28,75.0,17,39,56,25,9,4,11,17,3
628,DAL,DAL vs. LAL,02/26/2023,L,108,39,93,41.9,20,49,40.8,10,14,71.4,11,37,48,21,5,5,17,24,-3
629,LAC,LAC @ DEN,02/26/2023,L,124,44,90,48.9,11,34,32.4,25,30,83.3,6,32,38,24,11,5,13,25,-10
630,BKN,BKN @ ATL,02/26/2023,L,127,43,87,49.4,14,39,35.9,27,29,93.1,6,31,37,20,12,6,10,21,-2
631,PHX,PHX @ MIL,02/26/2023,L,101,40,95,42.1,8,24,33.3,13,22,59.1,19,36,55,21,4,5,12,22,-3
632,MIL,MIL vs. PHX,02/26/2023,W,104,38,87,43.7,13,45,28.9,15,21,71.4,11,34,45,15,4,7,12,20,3
633,WAS,WAS @ CHI,02/26/2023,L,82,32,76,42.1,6,28,21.4,12,23,52.2,12,30,42,22,5,1,16,18,-20
634,CHI,CHI vs. WAS,02/26/2023,W,102,40,79,50.6,8,30,26.7,14,17,82.4,8,31,39,21,7,3,11,19,20
635,MIN,MIN @ GSW,02/26/2023,L,104,38,90,42.2,17,45,37.8,11,21,52.4,10,33,43,26,11,8,16,18,-5
636,HOU,HOU @ POR,02/26/2023,L,114,45,100,45.0,7,26,26.9,17,25,68.0,18,30,48,24,7,2,14,26,-17
637,POR,POR vs. HOU,02/26/2023,W,131,42,77,54.5,20,39,51.3,27,35,77.1,6,31,37,20,7,7,14,21,17
638,DEN,DEN vs. LAC,02/26/2023,W,134,49,96,51.0,13,39,33.3,23,31,74.2,11,39,50,35,10,3,16,23,10
639,GSW,GSW vs. MIN,02/26/2023,W,109,39,91,42.9,15,42,35.7,16,22,72.7,16,40,56,23,11,5,18,19,5
640,TOR,TOR @ CLE,02/26/2023,L,93,36,93,38.7,9,25,36.0,12,15,80.0,13,30,43,19,4,4,14,16,-25
641,CLE,CLE vs. TOR,02/26/2023,W,118,44,84,52.4,18,36,50.0,12,14,85.7,8,37,45,31,7,5,14,17,25
642,SAC,SAC @ OKC,02/26/2023,W,124,45,85,52.9,18,43,41.9,16,24,66.7,13,35,48,32,7,1,20,21,9
643,OKC,OKC vs. SAC,02/26/2023,L,115,41,86,47.7,16,40,40.0,17,23,73.9,9,28,37,24,10,0,14,19,-9
644,DET,DET vs. TOR,02/25/2023,L,91,38,94,40.4,6,24,25.0,9,14,64.3,17,45,62,26,4,5,16,27,-4
645,TOR,TOR @ DET,02/25/2023,W,95,33,88,37.5,7,26,26.9,22,34,64.7,10,36,46,22,9,5,8,18,4
646,UTA,UTA vs. SAS,02/25/2023,W,118,43,92,46.7,10,28,35.7,22,28,78.6,15,41,56,29,5,11,16,16,16
647,SAS,SAS @ UTA,02/25/2023,L,102,38,97,39.2,9,34,26.5,17,21,81.0,9,32,41,21,5,6,10,21,-16
648,DEN,DEN @ MEM,02/25/2023,L,94,36,89,40.4,11,37,29.7,11,14,78.6,11,37,48,22,4,4,15,13,-18
649,MEM,MEM vs. DEN,02/25/2023,W,112,45,95,47.4,15,44,34.1,7,8,87.5,11,39,50,25,10,3,12,13,18
650,BOS,BOS @ PHI,02/25/2023,W,110,43,86,50.0,16,36,44.4,8,12,66.7,9,35,44,20,6,4,13,22,3
651,NYK,NYK vs. NOP,02/25/2023,W,128,45,88,51.1,19,48,39.6,19,23,82.6,11,43,54,24,1,7,19,22,22
652,NOP,NOP @ NYK,02/25/2023,L,106,40,102,39.2,8,38,21.1,18,21,85.7,13,26,39,25,11,0,7,15,-22
653,PHI,PHI vs. BOS,02/25/2023,L,107,35,78,44.9,9,27,33.3,28,35,80.0,8,34,42,19,8,3,10,13,-3
654,ORL,ORL vs. IND,02/25/2023,L,108,35,90,38.9,6,29,20.7,32,38,84.2,15,40,55,16,4,8,14,19,-13
655,IND,IND @ ORL,02/25/2023,W,121,48,99,48.5,15,40,37.5,10,14,71.4,10,35,45,35,9,8,10,24,13
656,MIA,MIA @ CHA,02/25/2023,L,103,32,80,40.0,11,36,30.6,28,34,82.4,7,35,42,24,7,3,18,25,-5
657,CHA,CHA vs. MIA,02/25/2023,W,108,38,88,43.2,10,31,32.3,22,27,81.5,11,37,48,20,10,2,15,22,5
658,ATL,ATL vs. CLE,02/24/2023,W,136,50,85,58.8,15,28,53.6,21,23,91.3,5,37,42,28,7,8,14,21,17
659,CLE,CLE @ ATL,02/24/2023,L,119,40,88,45.5,13,35,37.1,26,29,89.7,10,25,35,20,9,6,11,23,-17
660,MIA,MIA @ MIL,02/24/2023,L,99,36,92,39.1,9,40,22.5,18,25,72.0,9,36,45,21,5,5,10,17,-29
661,OKC,OKC @ PHX,02/24/2023,L,115,41,95,43.2,15,38,39.5,18,24,75.0,14,33,47,27,5,2,9,21,-9
662,PHX,PHX vs. OKC,02/24/2023,W,124,42,90,46.7,14,38,36.8,26,32,81.3,15,39,54,23,5,5,11,22,9
663,MIL,MIL vs. MIA,02/24/2023,W,128,47,98,48.0,19,46,41.3,15,19,78.9,10,47,57,27,6,1,12,18,29
664,CHA,CHA @ MIN,02/24/2023,W,121,43,92,46.7,10,28,35.7,25,28,89.3,11,41,52,25,10,4,11,17,8
665,MIN,MIN vs. CHA,02/24/2023,L,113,46,93,49.5,11,33,33.3,10,16,62.5,7,38,45,25,6,11,16,20,-8
666,HOU,HOU @ GSW,02/24/2023,L,101,36,92,39.1,11,35,31.4,18,22,81.8,13,31,44,23,12,3,7,18,-15
667,LAC,LAC vs. SAC,02/24/2023,L,175,59,98,60.2,26,45,57.8,31,36,86.1,7,35,42,39,8,3,25,27,-1
668,SAC,SAC @ LAC,02/24/2023,W,176,65,111,58.6,18,41,43.9,28,35,80.0,12,31,43,33,18,3,15,28,1
669,GSW,GSW vs. HOU,02/24/2023,W,116,37,78,47.4,26,54,48.1,16,18,88.9,7,40,47,27,3,3,19,20,15
670,BKN,BKN @ CHI,02/24/2023,L,87,30,81,37.0,12,44,27.3,15,19,78.9,5,26,31,21,6,3,14,25,-44
671,CHI,CHI vs. BKN,02/24/2023,W,131,50,88,56.8,12,26,46.2,19,28,67.9,12,45,57,25,6,4,11,15,44
672,WAS,WAS vs. NYK,02/24/2023,L,109,39,79,49.4,19,44,43.2,12,12,100.0,3,31,34,25,6,6,19,20,-6
673,NYK,NYK @ WAS,02/24/2023,W,115,45,92,48.9,12,29,41.4,13,16,81.3,12,31,43,21,9,2,12,17,6
674,DET,DET @ ORL,02/23/2023,L,106,37,81,45.7,17,34,50.0,15,19,78.9,6,39,45,22,5,7,21,25,-2
675,ORL,ORL vs. DET,02/23/2023,W,108,39,95,41.1,12,31,38.7,18,23,78.3,12,34,46,27,7,6,14,19,2
676,DEN,DEN @ CLE,02/23/2023,W,115,39,84,46.4,17,36,47.2,20,23,87.0,18,29,47,30,7,4,16,20,6
677,CLE,CLE vs. DEN,02/23/2023,L,109,43,90,47.8,6,26,23.1,17,20,85.0,13,28,41,24,10,2,11,21,-6
678,OKC,OKC @ UTA,02/23/2023,L,119,45,112,40.2,8,37,21.6,21,27,77.8,20,34,54,23,8,3,11,23,-1
679,UTA,UTA vs. OKC,02/23/2023,W,120,42,100,42.0,13,48,27.1,23,27,85.2,17,41,58,26,8,10,22,29,1
680,SAC,SAC vs. POR,02/23/2023,W,133,47,85,55.3,14,34,41.2,25,31,80.6,12,37,49,27,9,4,18,16,17
681,POR,POR @ SAC,02/23/2023,L,116,43,93,46.2,16,38,42.1,14,17,82.4,9,24,33,26,12,3,13,23,-17
682,GSW,GSW @ LAL,02/23/2023,L,111,40,105,38.1,14,49,28.6,17,21,81.0,17,31,48,24,10,3,10,23,-13
683,LAL,LAL vs. GSW,02/23/2023,W,124,42,86,48.8,16,30,53.3,24,34,70.6,10,48,58,30,8,3,16,20,13
684,IND,IND vs. BOS,02/23/2023,L,138,49,94,52.1,22,49,44.9,18,22,81.8,10,27,37,33,10,5,15,23,-4
685,DAL,DAL vs. SAS,02/23/2023,W,142,46,82,56.1,22,42,52.4,28,36,77.8,3,33,36,27,10,5,7,18,26
686,SAS,SAS @ DAL,02/23/2023,L,116,45,86,52.3,10,25,40.0,16,23,69.6,10,35,45,30,4,1,17,25,-26
687,BOS,BOS @ IND,02/23/2023,W,142,51,99,51.5,18,39,46.2,22,26,84.6,20,31,51,31,7,6,15,18,4
688,PHI,PHI vs. MEM,02/23/2023,W,110,34,84,40.5,13,36,36.1,29,36,80.6,7,36,43,25,3,10,12,26,5
689,MEM,MEM @ PHI,02/23/2023,L,105,34,87,39.1,7,32,21.9,30,36,83.3,13,36,49,22,5,7,11,27,-5
690,NOP,NOP @ TOR,02/23/2023,L,110,39,84,46.4,13,30,43.3,19,25,76.0,6,37,43,23,6,2,13,19,-5
691,TOR,TOR vs. NOP,02/23/2023,W,115,43,92,46.7,9,31,29.0,20,25,80.0,11,37,48,17,10,5,12,20,5
692,MIL,MIL @ CHI,02/16/2023,W,112,40,88,45.5,18,47,38.3,14,18,77.8,9,43,52,24,4,7,9,16,12
693,CHI,CHI vs. MIL,02/16/2023,L,100,37,97,38.1,10,32,31.3,16,21,76.2,15,36,51,19,4,2,6,17,-12
694,WAS,WAS @ MIN,02/16/2023,W,114,43,95,45.3,14,35,40.0,14,17,82.4,13,36,49,25,13,6,16,14,8
695,MIN,MIN vs. WAS,02/16/2023,L,106,39,95,41.1,8,29,27.6,20,22,90.9,16,37,53,21,8,5,18,16,-8
696,PHX,PHX vs. LAC,02/16/2023,L,107,42,89,47.2,11,31,35.5,12,16,75.0,7,31,38,30,10,2,14,24,-9
697,LAC,LAC @ PHX,02/16/2023,W,116,40,82,48.8,11,34,32.4,25,27,92.6,8,35,43,29,8,2,14,19,9
698,UTA,UTA @ MEM,02/15/2023,L,111,42,91,46.2,12,36,33.3,15,19,78.9,15,46,61,24,2,8,24,20,-6
699,IND,IND vs. CHI,02/15/2023,W,117,39,82,47.6,18,43,41.9,21,22,95.5,6,35,41,27,6,5,19,19,4
700,CHI,CHI @ IND,02/15/2023,L,113,41,84,48.8,15,35,42.9,16,21,76.2,6,32,38,23,10,6,14,21,-4
701,BOS,BOS vs. DET,02/15/2023,W,127,49,92,53.3,21,45,46.7,8,10,80.0,8,35,43,30,10,5,11,18,18
702,DET,DET @ BOS,02/15/2023,L,109,43,84,51.2,11,29,37.9,12,16,75.0,6,29,35,24,6,4,14,16,-18
703,DEN,DEN vs. DAL,02/15/2023,W,118,48,84,57.1,11,31,35.5,11,15,73.3,6,37,43,34,7,5,13,14,9
704,DAL,DAL @ DEN,02/15/2023,L,109,39,84,46.4,14,39,35.9,17,20,85.0,6,25,31,25,8,3,12,13,-9
705,PHI,PHI vs. CLE,02/15/2023,W,118,39,78,50.0,13,27,48.1,27,29,93.1,8,30,38,24,7,4,12,22,6
706,CLE,CLE @ PHI,02/15/2023,L,112,41,82,50.0,10,30,33.3,20,25,80.0,10,25,35,23,7,5,8,17,-6
707,HOU,HOU @ OKC,02/15/2023,L,96,30,89,33.7,10,37,27.0,26,38,68.4,14,33,47,20,5,7,18,33,-37
708,OKC,OKC vs. HOU,02/15/2023,W,133,42,87,48.3,9,34,26.5,40,47,85.1,10,39,49,21,8,4,11,21,37
709,SAS,SAS @ CHA,02/15/2023,L,110,41,107,38.3,13,38,34.2,15,20,75.0,20,38,58,24,7,6,15,24,-10
710,CHA,CHA vs. SAS,02/15/2023,W,120,43,96,44.8,14,35,40.0,20,29,69.0,15,43,58,26,8,12,16,17,10
711,NOP,NOP @ LAL,02/15/2023,L,102,39,89,43.8,7,25,28.0,17,24,70.8,13,37,50,24,5,3,15,28,-18
712,LAL,LAL vs. NOP,02/15/2023,W,120,44,83,53.0,10,37,27.0,22,36,61.1,6,37,43,32,5,8,11,23,18
713,BKN,BKN vs. MIA,02/15/2023,W,116,41,77,53.2,17,39,43.6,17,20,85.0,5,31,36,26,3,5,11,27,11
714,MIA,MIA @ BKN,02/15/2023,L,105,38,83,45.8,8,28,28.6,21,29,72.4,12,29,41,19,4,3,8,18,-11
715,MEM,MEM vs. UTA,02/15/2023,W,117,43,107,40.2,14,40,35.0,17,25,68.0,17,29,46,24,13,9,4,21,6
716,ATL,ATL vs. NYK,02/15/2023,L,101,40,97,41.2,5,26,19.2,16,21,76.2,8,32,40,25,6,7,5,18,-21
717,NYK,NYK @ ATL,02/15/2023,W,122,45,96,46.9,14,43,32.6,18,22,81.8,10,45,55,16,2,4,10,21,21
718,GSW,GSW @ LAC,02/14/2023,L,124,45,83,54.2,15,34,44.1,19,27,70.4,8,28,36,28,2,1,11,22,-10
719,WAS,WAS @ POR,02/14/2023,W,126,45,79,57.0,17,33,51.5,19,22,86.4,5,39,44,28,5,2,16,17,25
720,LAC,LAC vs. GSW,02/14/2023,W,134,49,92,53.3,17,36,47.2,19,22,86.4,12,24,36,33,5,4,8,22,10
721,SAC,SAC @ PHX,02/14/2023,L,109,37,83,44.6,14,38,36.8,21,24,87.5,13,27,40,23,8,4,17,21,-11
722,ORL,ORL @ TOR,02/14/2023,L,113,43,84,51.2,13,31,41.9,14,18,77.8,9,20,29,26,6,2,19,17,-10
723,TOR,TOR vs. ORL,02/14/2023,W,123,50,83,60.2,8,24,33.3,15,20,75.0,13,27,40,31,9,11,20,16,10
724,POR,POR vs. WAS,02/14/2023,L,101,36,86,41.9,12,42,28.6,17,24,70.8,12,25,37,20,9,5,12,19,-25
725,MIL,MIL vs. BOS,02/14/2023,W,131,43,90,47.8,18,42,42.9,27,35,77.1,10,42,52,29,6,3,19,23,6
726,PHX,PHX vs. SAC,02/14/2023,W,120,50,88,56.8,7,22,31.8,13,16,81.3,8,29,37,33,12,4,15,17,11
727,BOS,BOS @ MIL,02/14/2023,L,125,46,99,46.5,17,50,34.0,16,20,80.0,8,36,44,28,8,1,13,26,-6
728,NYK,NYK vs. BKN,02/13/2023,W,124,45,82,54.9,15,34,44.1,19,26,73.1,6,32,38,18,4,3,8,24,18
729,BKN,BKN @ NYK,02/13/2023,L,106,35,78,44.9,12,29,41.4,24,33,72.7,10,29,39,18,3,3,10,19,-18
730,LAL,LAL @ POR,02/13/2023,L,115,42,95,44.2,12,37,32.4,19,21,90.5,14,42,56,24,6,5,13,16,-12
731,IND,IND vs. UTA,02/13/2023,L,117,46,91,50.5,11,34,32.4,14,20,70.0,8,24,32,30,11,7,11,21,-6
732,PHI,PHI vs. HOU,02/13/2023,W,123,46,82,56.1,15,34,44.1,16,17,94.1,7,31,38,26,11,7,16,24,19
733,HOU,HOU @ PHI,02/13/2023,L,104,35,86,40.7,6,24,25.0,28,31,90.3,15,27,42,17,10,2,17,15,-19
734,UTA,UTA @ IND,02/13/2023,W,123,43,85,50.6,15,33,45.5,22,25,88.0,11,35,46,24,5,3,19,17,6
735,GSW,GSW vs. WAS,02/13/2023,W,135,52,89,58.4,20,40,50.0,11,15,73.3,11,23,34,40,10,0,16,19,9
736,WAS,WAS @ GSW,02/13/2023,L,126,48,80,60.0,12,28,42.9,18,21,85.7,9,24,33,26,10,3,17,15,-9
737,POR,POR vs. LAL,02/13/2023,W,127,46,97,47.4,23,47,48.9,12,13,92.3,8,34,42,27,7,9,7,15,12
738,MIA,MIA vs. DEN,02/13/2023,L,108,39,89,43.8,12,35,34.3,18,20,90.0,9,25,34,25,9,4,9,14,-4
739,DEN,DEN @ MIA,02/13/2023,W,112,44,76,57.9,11,28,39.3,13,15,86.7,6,33,39,34,3,4,13,18,4
740,CHI,CHI vs. ORL,02/13/2023,L,91,35,86,40.7,3,21,14.3,18,19,94.7,10,34,44,17,8,3,16,21,-9
741,ORL,ORL @ CHI,02/13/2023,W,100,38,81,46.9,8,27,29.6,16,19,84.2,7,35,42,24,8,6,18,19,9
742,CHA,CHA vs. ATL,02/13/2023,W,144,53,84,63.1,20,37,54.1,18,23,78.3,3,32,35,36,5,5,17,19,6
743,ATL,ATL @ CHA,02/13/2023,L,138,53,108,49.1,11,28,39.3,21,21,100.0,16,26,42,26,9,4,12,15,-6
744,OKC,OKC vs. NOP,02/13/2023,L,100,38,90,42.2,9,33,27.3,15,18,83.3,14,29,43,20,8,3,17,17,-3
745,CLE,CLE vs. SAS,02/13/2023,W,117,44,78,56.4,9,28,32.1,20,25,80.0,11,25,36,21,8,6,14,16,8
746,MIN,MIN @ DAL,02/13/2023,W,124,48,83,57.8,9,29,31.0,19,26,73.1,10,29,39,28,8,2,12,26,3
747,DAL,DAL vs. MIN,02/13/2023,L,121,43,84,51.2,13,39,33.3,22,29,75.9,9,24,33,21,5,1,11,21,-3
748,SAS,SAS @ CLE,02/13/2023,L,109,43,85,50.6,8,21,38.1,15,20,75.0,11,24,35,27,10,1,18,21,-8
749,NOP,NOP @ OKC,02/13/2023,W,103,39,74,52.7,9,30,30.0,16,18,88.9,4,29,33,19,13,8,19,21,3
750,MEM,MEM @ BOS,02/12/2023,L,109,42,84,50.0,12,34,35.3,13,21,61.9,3,31,34,24,4,5,8,22,-10
751,BOS,BOS vs. MEM,02/12/2023,W,119,39,88,44.3,21,51,41.2,20,26,76.9,15,40,55,28,5,3,11,14,10
752,TOR,TOR vs. DET,02/12/2023,W,119,42,87,48.3,11,30,36.7,24,36,66.7,13,27,40,21,5,8,8,26,1
753,DET,DET @ TOR,02/12/2023,L,118,40,79,50.6,13,34,38.2,25,32,78.1,6,26,32,25,3,4,18,26,-1
754,CHA,CHA vs. DEN,02/11/2023,L,105,40,85,47.1,8,32,25.0,17,29,58.6,5,32,37,25,11,8,14,18,-14
